Category,Disease,Ranked_Proteins
Cardiovascular,Primary_pulmonary_hypertension,"TBL1X, IGFBP1, SFTPD, TRDMT1, CHIT1, PSMD5, F7, PSMD9, VWF, PRKAB1, PDLIM5, VPS37A, BHLHE40, KIF22, GSTA1, MYH9, VIM, PRKG1, PNLIPRP2, DBNL, SRC, COL4A1, PDE5A, HMOX1, SH2B3"
Cardiovascular,Pulmonary_embolism,"VWF, PSMA1, SRC, POLR2F, SFTPD, SMAD2, PRKAB1, PNLIPRP2, CHIT1, SHC1, NCK2, SFTPA2, RAD51, FOXO3, CD2AP, PSMD1, CDH15, ITGB5, MYH9, ACY1, MAP2K6, KLK3, SFTPA1, SULT1A1, GSTA1"
Cardiovascular,Raynaud_syndrome,"VWF, PSMD5, LMNB1, PSMD9, PSMD1, NBN, TBL1X, GSTA1, PSME1, MYH9, PSMA1, ATF2, IGFBP1, LYN, ITGA2, PSME2, HSPA2, SERPINE1, GP6, GH1, GCG, CYB5A, ACY1, GRPEL1, LEFTY2"
Cardiovascular,Right_bundle_branch_block,"VPS37A, PSMD9, PNLIPRP2, NBN, F7, VIM, SFTPD, PDLIM5, TFRC, GP1BB, APP, FKBP1B, CHMP6, TBL1X, PSMA1, CHIT1, CALCA, KLK3, SAP18, RUVBL1, SDC4, GRPEL1, GSTP1, COL4A1, SLC16A1"
Cardiovascular,Stable_angina,"SFTPD, APP, PNLIPRP2, REN, PLAT, CHIT1, FABP1, KLK3, AKT2, COL2A1, VIM, GFAP, GGT1, FURIN, CDH15, PCSK9, CDKN1A, SERPINE1, SKAP2, YES1, GCG, ITGB1, BPIFB2, SULT1A1, PSMD1"
Cardiovascular,Supraventricular_tachycardia,"SERPINE1, TBL1X, PDE5A, SMAD2, VAV3, LMNB1, OCLN, RAD51, VIM, CDKN1A, SRC, PNLIPRP2, F7, SHH, VWF, LEP, GSTA1, GFER, VPS28, PARK7, POLR2F, MYH9, MAP2K6, HHEX, UBE2L6"
Cardiovascular,Transient_ischaemic_attack,"VIM, TBL1X, SKAP2, LMNB1, FOXO3, PSMA1, CHIT1, ATF2, CEACAM8, SMAD2, MYL3, PSME2, ACTN2, PNLIPRP2, MAP2K6, HMOX1, SMC3, SERPINE1, YAP1, CDC26, SAP18, HSPA2, GSTP1, RNASE1, CDKN1A"
Cardiovascular,Unstable_Angina,"TBL1X, SERPINE1, AGXT, POLR2F, ITGB1, FGF21, SRC, VIM, PSMD9, ATF2, PNLIPRP2, ITGA6, RUVBL1, FURIN, VAV3, TERF1, SERPINE2, SULT1A1, MYL6B, SFTPD, RAD51, PDE5A, GSTA1, CTSH, MLLT1"
Cardiovascular,Venous_thromboembolic_disease,"SRC, LMNB1, TBL1X, SMC3, PNLIPRP2, GFAP, CHMP6, TPR, NAMPT, PSME2, GSTA1, PDE5A, LATS1, VAV3, FGF21, VIM, F7, LDLR, GP1BB, TWF2, LYN, VWF, RCOR1, SERPINE1, SAP18"
Digestive,Abdominal_Hernia,"KLK3, LEP, TBL1X, SRC, LMNB1, CGA, VIM, MYL3, ITGB1, CEACAM8, IGFBP1, APOE, PSMD9, LEFTY2, PSME1, SERPINE1, PTPN6, AKT2, SULT1A1, SAP18, FABP1, CDKN1A, GSTA1, CHIT1, IGFBP2"
Digestive,Anal_fissure,"VIM, IGFBP1, NBN, ITGA2, GSTA1, TBL1X, KIF22, WASL, MYH9, NPHS2, PSMD9, SIRPA, COL4A1, VPS37A, POLR2A, PLAT, CEACAM8, PNLIPRP2, YES1, TP53BP1, CHIT1, GP1BB, CD163, PNLIPRP1, DBNL"
Digestive,Barrett_oesophagus,"PGA4, LYN, SLC16A1, PDE5A, PNLIPRP2, APOE, ATF2, LMNB1, NBN, LIPF, TBL1X, LEFTY2, TPMT, BHLHE40, PRKG1, PSMD1, EGF, PTPN6, ODAM, SH2B3, VWF, IL6, CDC27, CALCA, CEBPB"
Digestive,Cholecystitis,"VIM, TBL1X, SRC, SERPINE1, RAD51, SMC3, F7, PSMD9, LEP, CD2AP, PNLIPRP2, GGT1, SULT1A1, CEACAM8, PLIN3, NAMPT, GFER, CDKN1A, APP, CEBPB, VAV3, TPMT, LMNB1, PGA4, BHLHE40"
Digestive,Cholelithiasis,"LEP, GSTA1, ITGB1, ITGA2, CHIT1, POLR2F, MMP3, CA6, VIM, CDH15, OCLN, PTPN6, RAD51, ITGA5, SHC1, CGA, NBN, COL2A1, FGF21, BHLHE40, KLK3, PDLIM5, FABP4, IGFBP1, TBL1X"
Digestive,Diaphragmatic_hernia,"PGA4, LMNB1, ENPP7, SNCA, EGF, IGFBP2, TFF1, SRC, FGF21, RNF5, TBL1X, COL2A1, IGFBP1, PDE5A, LEP, CES1, GFAP, ANXA2, TYMP, RANBP2, CALCA, THBS2, CD36, SMPD1, DOCK9"
Digestive,Diverticular_disease_of_intestine,"SRC, PSMD9, STAT5B, COL9A1, PNLIPRP2, CDKN1A, GAST, ELN, FURIN, COL2A1, ITGA2, SMAD2, LMNB1, PGA4, GCG, SULT1A1, DLL4, PTPN6, PRKAB1, LEP, FADD, PLCB2, COL4A1, CHIT1, TRIM25"
Digestive,Fatty_Liver,"GSTA1, SRC, PSMD9, IGFBP1, FGF21, LEP, GGT1, SHC1, CGA, TPMT, SERPINE1, PNLIPRP2, RAD51, GUSB, PSMA1, TPR, APOE, CA13, ACY1, PSMC3, AGXT, MLLT1, SFTPA2, MYH9, PFDN2"
Digestive,Gastritis_and_duodenitis,"GAST, SRC, CDKN1A, PSMD9, HBEGF, PNLIPRP2, FOXO3, CA9, PGA4, CA6, PLIN3, VWF, TBL1X, PTPN6, INPPL1, PARK7, PSCA, LYN, AKT2, APOE, VIM, CHIT1, RANBP2, FGF2, JCHAIN"
Digestive,Gastro_oesophageal_reflux_disease,"PGA4, GAST, VWF, TBL1X, TPMT, SERPINE1, PLCB2, SRC, INPPL1, LEP, NBN, LIPF, PTPN6, CA6, SNCA, TIMM8A, DCTN2, VAV3, HBEGF, VIM, PSME1, PNLIPRP2, IGFBP1, TP53BP1, POLR2A"
Digestive,Irritable_bowel_syndrome,"PNLIPRP2, PSMD1, TBL1X, PSMD9, NBN, LEP, GCG, CDKN1A, KLK3, STAT5B, BGN, SMAD2, PGA4, ATP5F1D, VWF, SFTPA2, ATP6V1G2, IGFBP1, COL4A1, SHC1, FLI1, TP53BP1, PSMD5, TNNI3, PSME1"
Digestive,Oesophagitis_and_oesophageal_ulcer,"TBL1X, VIM, FXN, SHC1, PSMD1, CHIT1, SMC3, SRC, PNLIPRP2, TPMT, COL2A1, SLC16A1, VAV3, SERPINE1, PGA4, POLR2A, SOD2, TOMM20, TNNI3, SAP18, FOXO3, MYL6B, CA6, PRKAB1, IMMT"
