"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","developmental process","GO:0032502","false","0.00013257908735809823","3.877524974884834","6535","86","51","20972","AKT2,ANXA2,APOE,ATF2,BHLHE40,CALCA,CDH15,CES1,CGA,COL2A1,COL4A1,EGF,F7,FABP4,FGF21,GFAP,GGT1,GP1BB,GSTA1,IGFBP1,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,KLK3,LEFTY2,LEP,LYN,MYH9,MYL3,NBN,NCK2,NPHS2,ODAM,PDLIM5,PRKG1,PTPN6,SERPINE1,SHC1,SMC3,SNCA,SRC,STAT5B,TFF1,TP53BP1,TYMP,VAV3,VIM,WASL,YES1"
"GO:BP","cellular response to stimulus","GO:0051716","false","0.00013331612501387715","3.875117318095425","7425","86","55","20972","AKT2,APOE,ATF2,CALCA,CES1,CGA,COL2A1,COL4A1,EGF,F7,FABP1,FABP4,FGF21,GAST,GFAP,GP1BB,GSTA1,IGFBP1,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,KIF22,LEFTY2,LEP,LYN,MMP3,MYH9,NBN,NCK2,PDE5A,PLAT,POLR2A,PPP2R5A,PRKG1,PTPN6,RAD51,RNF5,SERPINE1,SHC1,SIRPA,SMC3,SNCA,SRC,STAT5B,TBL1X,TFF1,TP53BP1,TPMT,TPR,TYMP,VAV3,VIM,YES1"
"GO:BP","response to endogenous stimulus","GO:0009719","false","0.00015128955221460058","3.820191062540041","1467","86","22","20972","AKT2,APOE,ATF2,CALCA,CES1,CGA,COL2A1,F7,FGF21,IGFBP1,IGFBP2,ITGA2,ITGA5,ITGB1,LEP,LYN,SHC1,SRC,STAT5B,TFF1,TPR,YES1"
"GO:BP","inflammatory response","GO:0006954","false","0.00016125636030533808","3.792483146825803","873","86","17","20972","APOE,CD163,FABP4,GGT1,ITGB1,LEP,LYN,MMP3,ODAM,PSMA1,PTPN6,SERPINE1,SIRPA,SNCA,SRC,STAT5B,YES1"
"GO:BP","cell adhesion mediated by integrin","GO:0033627","false","0.00016636223544137137","3.7789452525693696","89","86","7","20972","ITGA2,ITGA5,ITGAV,ITGB1,LYN,PTPN6,SERPINE1"
"GO:BP","tube morphogenesis","GO:0035239","false","0.00017219025235263387","3.7639914374891283","877","86","17","20972","ANXA2,APOE,ATF2,COL4A1,EGF,ITGA5,ITGAV,ITGB1,KLK3,LEP,MYH9,PTPN6,SERPINE1,SHC1,SRC,TYMP,VAV3"
"GO:BP","platelet activation","GO:0030168","false","0.00020569795555452127","3.6867700247651807","138","86","8","20972","APOE,GP1BB,LYN,MYH9,PRKG1,PTPN6,SRC,VAV3"
"GO:BP","positive regulation of lymphocyte activation","GO:0051251","false","0.00022780064747677037","3.6424450458618836","331","86","11","20972","IGFBP2,LEP,LYN,NCK2,PTPN6,SIRPA,SRC,STAT5B,TP53BP1,VAV3,YES1"
"GO:BP","regulation of localization","GO:0032879","false","0.00022812572073539276","3.641825746096833","1914","86","25","20972","AKT2,ANXA2,APOE,CALCA,CES1,EGF,FGF21,GFAP,ITGA2,ITGAV,ITGB1,LEP,LYN,OCLN,PPP2R5A,PRKG1,PTPN6,SERPINE1,SIRPA,SLC16A1,SNCA,SRC,TPR,WASL,YES1"
"GO:BP","leukocyte cell-cell adhesion","GO:0007159","false","0.0002483373159254789","3.6049580171233555","413","86","12","20972","CALCA,IGFBP2,ITGA5,ITGB1,LEP,LYN,NCK2,PTPN6,SIRPA,SRC,STAT5B,YES1"
"GO:BP","multicellular organismal process","GO:0032501","false","0.0002745670964459822","3.5613515089351804","7337","86","54","20972","AKT2,ANXA2,APOE,ATF2,BHLHE40,CA6,CALCA,CGA,CHIT1,COL2A1,COL4A1,EGF,ENPP7,F7,FABP4,FGF21,GFAP,GP1BB,IGFBP2,ITGA2,ITGA5,ITGAV,ITGB1,KLK3,LEFTY2,LEP,LYN,MYH9,MYL3,NBN,NCK2,NPHS2,OCLN,PDLIM5,PLAT,PNLIP,PRKG1,PTPN6,SERPINE1,SHC1,SIRPA,SLC16A1,SMC3,SNCA,SRC,STAT5B,TBL1X,TFF1,TP53BP1,TYMP,VAV3,VIM,WASL,YES1"
"GO:BP","positive regulation of cell population proliferation","GO:0008284","false","0.00035703891894641067","3.447284441135932","923","86","17","20972","ATF2,CGA,EGF,FGF21,GFAP,IGFBP2,ITGA2,ITGAV,ITGB1,LEP,LYN,NCK2,ODAM,PTPN6,SHC1,STAT5B,VAV3"
"GO:BP","negative regulation of response to stimulus","GO:0048585","false","0.0004253559046054164","3.3712475341303816","1693","86","23","20972","AKT2,ANXA2,APOE,CALCA,COL2A1,IGFBP1,IGFBP2,ITGAV,ITGB1,LEP,LYN,MMP3,NCK2,PLAT,PRKG1,PSMA1,PTPN6,SERPINE1,SIRPA,SNCA,SRC,TP53BP1,YES1"
"GO:BP","positive regulation of endocytosis","GO:0045807","false","0.0004795431724214958","3.319172287971093","154","86","8","20972","ANXA2,APOE,EGF,ITGA2,SERPINE1,SIRPA,SNCA,WASL"
"GO:BP","positive regulation of leukocyte activation","GO:0002696","false","0.0005740721778239528","3.2410335005288733","363","86","11","20972","IGFBP2,LEP,LYN,NCK2,PTPN6,SIRPA,SRC,STAT5B,TP53BP1,VAV3,YES1"
