"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","response to nutrient levels","GO:0031667","true","0.005551525478340216","2.2555876626803024","475","3","3","20972","GAST,FGF23,TFRC"
"REAC","FGFR1c and Klotho ligand binding and activation","REAC:R-HSA-190374","false","0.04987975653357947","1.3020756750086717","1","3","1","11056","FGF23"
"MIRNA","mir-370","MIRNA:mir-370","false","0.018268503893561404","1.7382970179115944","1","2","1","16638","TFRC"
"CORUM","SNX complex (SNX1, SNX1a, TFRC)","CORUM:1104","false","0.04993169344335535","1.301623704511023","2","1","1","3383","TFRC"
"CORUM","TF-TFRC complex","CORUM:7359","false","0.04993169344335535","1.301623704511023","2","1","1","3383","TFRC"
